Ref,Val,Package,PosX,PosY,Rot,Side
"C2","1n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",86.1640,-26.9340,90.0000,bottom
"C3","3n3","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",87.9420,-33.7920,0.0000,bottom
"C4","1.5n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",80.8300,-30.7440,180.0000,bottom
"C5","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",87.9420,-30.7440,0.0000,bottom
"C6","4.7u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",96.3240,-27.9500,90.0000,bottom
"C7","1000u","CP_Radial_D10.0mm_P5.00mm",100.3880,-5.5980,90.0000,top
"C8","10u","CP_Radial_D10.0mm_P5.00mm",141.2820,-37.0838,135.0000,top
"C20","6.8p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",136.7100,-6.6140,180.0000,bottom
"C21","22p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",136.7100,-9.6620,0.0000,bottom
"C22","10n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",87.9420,-36.8400,180.0000,bottom
"C24","4.7u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",132.3920,-22.1080,180.0000,bottom
"C26","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",93.7840,-27.6960,90.0000,bottom
"C27","4.7u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",127.0580,-20.0760,180.0000,bottom
"C28","100u","CP_Radial_D6.3mm_P2.50mm",139.6704,-15.2500,180.0000,top
"D4","UF4007","D_A-405_P10.16mm_Horizontal",113.0880,-39.8880,180.0000,top
"D20","PMEG4010CEH","D_SOD-123F",90.9900,-38.3640,-90.0000,bottom
"D22","BZT52B15","D_SOD-123F",95.8160,-6.6140,-90.0000,bottom
"D23","BZT52B5V1","D_SOD-123",120.2000,-25.4100,180.0000,bottom
"F1","10A","Fuse_5x20mm_w_holders",87.4340,-10.5880,-90.0000,top
